threshold_label,threshold_ft,decade,events,years_observed,events_per_year
6.58 (curb / flood onset),6.58,1910,43,9,4.777777777777778
6.58 (curb / flood onset),6.58,1920,15,2,7.5
6.58 (curb / flood onset),6.58,1930,9,8,1.125
6.58 (curb / flood onset),6.58,1940,23,10,2.3
6.58 (curb / flood onset),6.58,1950,33,10,3.3
6.58 (curb / flood onset),6.58,1960,57,10,5.7
6.58 (curb / flood onset),6.58,1970,66,10,6.6
6.58 (curb / flood onset),6.58,1980,58,10,5.8
6.58 (curb / flood onset),6.58,1990,153,10,15.3
6.58 (curb / flood onset),6.58,2000,222,10,22.2
6.58 (curb / flood onset),6.58,2010,436,10,43.6
6.58 (curb / flood onset),6.58,2020,297,7,42.42857142857143
7.00 (lawn),7.0,1910,13,9,1.4444444444444444
7.00 (lawn),7.0,1920,2,2,1.0
7.00 (lawn),7.0,1930,6,8,0.75
7.00 (lawn),7.0,1940,4,10,0.4
7.00 (lawn),7.0,1950,15,10,1.5
7.00 (lawn),7.0,1960,26,10,2.6
7.00 (lawn),7.0,1970,27,10,2.7
7.00 (lawn),7.0,1980,20,10,2.0
7.00 (lawn),7.0,1990,46,10,4.6
7.00 (lawn),7.0,2000,72,10,7.2
7.00 (lawn),7.0,2010,139,10,13.9
7.00 (lawn),7.0,2020,101,7,14.428571428571429
7.20 (dashboard Minor),7.2,1910,11,9,1.2222222222222223
7.20 (dashboard Minor),7.2,1920,2,2,1.0
7.20 (dashboard Minor),7.2,1930,2,8,0.25
7.20 (dashboard Minor),7.2,1940,3,10,0.3
7.20 (dashboard Minor),7.2,1950,10,10,1.0
7.20 (dashboard Minor),7.2,1960,15,10,1.5
7.20 (dashboard Minor),7.2,1970,20,10,2.0
7.20 (dashboard Minor),7.2,1980,10,10,1.0
7.20 (dashboard Minor),7.2,1990,30,10,3.0
7.20 (dashboard Minor),7.2,2000,45,10,4.5
7.20 (dashboard Minor),7.2,2010,84,10,8.4
7.20 (dashboard Minor),7.2,2020,56,7,8.0
7.70 (NWS Moderate),7.7,1910,3,9,0.3333333333333333
7.70 (NWS Moderate),7.7,1940,1,10,0.1
7.70 (NWS Moderate),7.7,1950,5,10,0.5
7.70 (NWS Moderate),7.7,1960,9,10,0.9
7.70 (NWS Moderate),7.7,1970,4,10,0.4
7.70 (NWS Moderate),7.7,1980,5,10,0.5
7.70 (NWS Moderate),7.7,1990,10,10,1.0
7.70 (NWS Moderate),7.7,2000,9,10,0.9
7.70 (NWS Moderate),7.7,2010,22,10,2.2
7.70 (NWS Moderate),7.7,2020,8,7,1.1428571428571428
8.70 (NWS Major),8.7,1940,1,10,0.1
8.70 (NWS Major),8.7,1950,3,10,0.3
8.70 (NWS Major),8.7,1960,6,10,0.6
8.70 (NWS Major),8.7,1990,1,10,0.1
8.70 (NWS Major),8.7,2010,4,10,0.4
8.70 (NWS Major),8.7,2020,1,7,0.14285714285714285
