date,event,peak_mllw_ft,peak_hourly_mllw_ft,water_navd88_ft,rel_sw_grate_in,highest_landmark_covered,inches_over_highest
2012-10-29,Hurricane Sandy,14.4,12.03,11.58,96.7,porch deck,42.0
1960-09-12,Hurricane Donna,10.08,9.89,7.26,44.9,3rd porch step top,6.2
1992-12-11,December 1992 nor'easter,10.08,9.63,7.26,44.9,3rd porch step top,6.2
2011-08-28,Hurricane Irene,9.76,9.64,6.94,41.0,3rd porch step top,2.4
1953-11-07,November 1953 nor'easter,9.69,9.69,6.87,40.2,3rd porch step top,1.6
1962-03-06,Ash Wednesday storm,9.39,9.29,6.57,36.6,2nd porch step top,5.9
1944-09-14,Great Atlantic Hurricane,9.39,9.31,6.57,36.6,2nd porch step top,5.9
2010-03-13,March 2010 nor'easter,9.03,8.89,6.21,32.3,2nd porch step top,1.6
1950-11-25,Great Appalachian Storm,8.99,8.98,6.17,31.8,2nd porch step top,1.1
1966-01-23,January 1966 nor'easter,8.89,8.89,6.07,30.6,1st porch step top,7.9
